price,demand,emissions,date,time
254.3,26792,12287.250000000004,2022-02-11,00:00:00
233.71,25817,11883.631,2022-02-11,01:00:00
232.08,24690,10940.722,2022-02-11,02:00:00
222.96,24232,11452.998,2022-02-11,03:00:00
219.9,23537,12749.593,2022-02-11,04:00:00
225.95,23924,13056.601,2022-02-11,05:00:00
253.47,25099,14243.276000000002,2022-02-11,06:00:00
277.19,28751,17380.940000000002,2022-02-11,07:00:00
313.26,31931,18709.007999999998,2022-02-11,08:00:00
306.51,32841,20675.494000000002,2022-02-11,09:00:00
355.16,33328,21894.578,2022-02-11,10:00:00
335.57,32760,22396.937,2022-02-11,11:00:00
316.73,32211,23472.358000000004,2022-02-11,12:00:00
315.76,32043,23509.496000000003,2022-02-11,13:00:00
245.77,31292,22799.262,2022-02-11,14:00:00
244.02,30799,22183.012,2022-02-11,15:00:00
250.93,30441,20741.420000000002,2022-02-11,16:00:00
287.92,29939,19149.485,2022-02-11,17:00:00
384.75,29959,18221.333,2022-02-11,18:00:00
400.75,31932,18715.088,2022-02-11,19:00:00
375.36,33327,17105.925000000003,2022-02-11,20:00:00
368.8,33714,15832.738,2022-02-11,21:00:00
282.8,31375,14034.635,2022-02-11,22:00:00
274.21,29036,12672.25,2022-02-11,23:00:00
271.25,26893,12287.250000000004,2022-02-12,00:00:00
273.69,25828,11883.631,2022-02-12,01:00:00
270.4,24301,10940.722,2022-02-12,02:00:00
268.52,23048,11452.998,2022-02-12,03:00:00
265.0,22542,12749.593,2022-02-12,04:00:00
256.14,22480,13056.601,2022-02-12,05:00:00
260.54,22517,14243.276000000002,2022-02-12,06:00:00
268.56,23547,17380.940000000002,2022-02-12,07:00:00
270.24,24826,18709.007999999998,2022-02-12,08:00:00
265.81,26612,20675.494000000002,2022-02-12,09:00:00
253.59,28807,21894.578,2022-02-12,10:00:00
231.33,29208,22396.937,2022-02-12,11:00:00
226.58,29331,23472.358000000004,2022-02-12,12:00:00
215.34,28960,23509.496000000003,2022-02-12,13:00:00
212.51,29260,22799.262,2022-02-12,14:00:00
212.31,28022,22183.012,2022-02-12,15:00:00
220.33,26965,20741.420000000002,2022-02-12,16:00:00
249.78,26704,19149.485,2022-02-12,17:00:00
271.88,26757,18221.333,2022-02-12,18:00:00
292.88,28575,18715.088,2022-02-12,19:00:00
277.82,30464,17105.925000000003,2022-02-12,20:00:00
271.58,30876,15832.738,2022-02-12,21:00:00
258.46,29472,14034.635,2022-02-12,22:00:00
245.87,27242,12672.25,2022-02-12,23:00:00
278.3,24651,12287.250000000004,2022-02-13,00:00:00
277.96,22875,11883.631,2022-02-13,01:00:00
277.14,21723,10940.722,2022-02-13,02:00:00
251.82,20751,11452.998,2022-02-13,03:00:00
232.38,20479,12749.593,2022-02-13,04:00:00
232.54,20490,13056.601,2022-02-13,05:00:00
232.54,20831,14243.276000000002,2022-02-13,06:00:00
253.18,21499,17380.940000000002,2022-02-13,07:00:00
226.72,21783,18709.007999999998,2022-02-13,08:00:00
220.5,23722,20675.494000000002,2022-02-13,09:00:00
209.46,25758,21894.578,2022-02-13,10:00:00
192.64,26237,22396.937,2022-02-13,11:00:00
193.32,26027,23472.358000000004,2022-02-13,12:00:00
157.18,26818,23509.496000000003,2022-02-13,13:00:00
99.3,26732,22799.262,2022-02-13,14:00:00
126.88,25619,22183.012,2022-02-13,15:00:00
146.38,25191,20741.420000000002,2022-02-13,16:00:00
170.7,25189,19149.485,2022-02-13,17:00:00
218.18,26684,18221.333,2022-02-13,18:00:00
235.1,29523,18715.088,2022-02-13,19:00:00
259.89,30310,17105.925000000003,2022-02-13,20:00:00
259.75,29942,15832.738,2022-02-13,21:00:00
219.7,27973,14034.635,2022-02-13,22:00:00
219.59,25786,12672.25,2022-02-13,23:00:00
