price,demand,emissions,date,time
58.82,24682,14467.284,2017-01-01,00:00:00
58.23,24046,14173.8295,2017-01-01,01:00:00
51.95,22665,13198.069,2017-01-01,02:00:00
47.27,21200,12510.759499999998,2017-01-01,03:00:00
45.49,20056,12203.731500000002,2017-01-01,04:00:00
44.5,19173,11801.614,2017-01-01,05:00:00
44.5,19222,11703.294999999998,2017-01-01,06:00:00
44.72,19437,11798.244,2017-01-01,07:00:00
44.22,19801,11436.5655,2017-01-01,08:00:00
45.13,19497,11348.4975,2017-01-01,09:00:00
46.23,21073,12045.488,2017-01-01,10:00:00
47.91,22898,13128.402999999998,2017-01-01,11:00:00
49.57,23838,13096.9705,2017-01-01,12:00:00
48.69,24294,12773.900500000002,2017-01-01,13:00:00
47.2,24930,13060.3555,2017-01-01,14:00:00
46.51,24056,12734.405,2017-01-01,15:00:00
46.52,23030,13440.562999999998,2017-01-01,16:00:00
51.59,22963,13746.1165,2017-01-01,17:00:00
59.07,24658,14163.286,2017-01-01,18:00:00
62.1,27286,14261.0035,2017-01-01,19:00:00
64.2,28210,14240.155,2017-01-01,20:00:00
60.69,29157,13839.806,2017-01-01,21:00:00
59.07,28925,13533.625999999998,2017-01-01,22:00:00
52.0,27577,12691.3385,2017-01-01,23:00:00
54.99,25098,11575.232500000002,2017-01-02,00:00:00
50.18,22491,11111.1455,2017-01-02,01:00:00
47.1,20865,10867.181,2017-01-02,02:00:00
45.78,20146,10754.382999999998,2017-01-02,03:00:00
44.99,19719,10905.7205,2017-01-02,04:00:00
46.9,19863,11697.998,2017-01-02,05:00:00
50.24,21191,12234.327,2017-01-02,06:00:00
59.07,24111,13331.3455,2017-01-02,07:00:00
64.98,27362,14475.049,2017-01-02,08:00:00
65.02,29152,15518.357000000002,2017-01-02,09:00:00
68.49,31871,15978.961499999998,2017-01-02,10:00:00
65.99,33325,15802.3105,2017-01-02,11:00:00
65.75,33405,15655.2785,2017-01-02,12:00:00
64.98,33470,15638.202500000005,2017-01-02,13:00:00
61.19,33361,15507.2305,2017-01-02,14:00:00
59.71,32068,15638.1715,2017-01-02,15:00:00
60.96,31494,15877.817,2017-01-02,16:00:00
69.19,31535,16373.1,2017-01-02,17:00:00
72.15,32932,17105.051499999998,2017-01-02,18:00:00
73.2,34547,17355.246,2017-01-02,19:00:00
70.11,34972,16800.467499999995,2017-01-02,20:00:00
64.98,34991,16576.621000000003,2017-01-02,21:00:00
60.1,33661,16266.166,2017-01-02,22:00:00
58.78,31297,15061.5675,2017-01-02,23:00:00
54.68,28129,14095.291,2017-01-03,00:00:00
52.74,25526,13872.1935,2017-01-03,01:00:00
49.25,23616,13374.562500000002,2017-01-03,02:00:00
45.0,23017,12543.652,2017-01-03,03:00:00
45.18,22503,12779.783,2017-01-03,04:00:00
49.25,22810,13478.263,2017-01-03,05:00:00
57.65,23741,14113.622,2017-01-03,06:00:00
70.51,26983,15188.4145,2017-01-03,07:00:00
71.61,30668,17369.5665,2017-01-03,08:00:00
72.69,33331,18272.718,2017-01-03,09:00:00
73.33,35395,18908.6275,2017-01-03,10:00:00
73.31,36459,19170.987500000003,2017-01-03,11:00:00
72.71,35870,18744.388000000003,2017-01-03,12:00:00
71.69,35420,18361.3345,2017-01-03,13:00:00
